case,source_platform,rating_1_5,text,stance,theme_codes,pulled_by,post_date,has_text,unnamed_9,post_date_norm,year,ym,rating_1_5_num
DAA,YandexMaps,3,Во всем комплексе не работает вентиляция. Дышать нечем.,negative,comfort,Mariia,2021-08-12 00:00:00,yes,NA,2021-08-12,2021,2021-08,3
DAA,YandexMaps,5,Понравился магазин японских красок Kansas Paint,positive,commerce,Mariia,2021-08-12 00:00:00,yes,NA,2021-08-12,2021,2021-08,5
DAA,YandexMaps,5,Понравился магазин японских красок Kansas Paint,positive,specialty_store,Mariia,2021-08-12 00:00:00,yes,NA,2021-08-12,2021,2021-08,5
DAA,YandexMaps,4,"Был Артплей стало то что не выговорить , будьте готовы что парковку можете ждать на въезд около часа... Шлагбаум работает то нет . Очень не удобный выезд на дорогу...",negative,parking_issue,Mariia,2021-10-27 00:00:00,yes,NA,2021-10-27,2021,2021-10,4
DAA,YandexMaps,4,"Был Артплей стало то что не выговорить , будьте готовы что парковку можете ждать на въезд около часа... Шлагбаум работает то нет . Очень не удобный выезд на дорогу...",negative,logistics,Mariia,2021-10-27 00:00:00,yes,NA,2021-10-27,2021,2021-10,4
DAA,YandexMaps,4,"Был Артплей стало то что не выговорить , будьте готовы что парковку можете ждать на въезд около часа... Шлагбаум работает то нет . Очень не удобный выезд на дорогу...",negative,infrastructure,Mariia,2021-10-27 00:00:00,yes,NA,2021-10-27,2021,2021-10,4
DAA,YandexMaps,4,"Был Артплей стало то что не выговорить , будьте готовы что парковку можете ждать на въезд около часа... Шлагбаум работает то нет . Очень не удобный выезд на дорогу...",negative,access,Mariia,2021-10-27 00:00:00,yes,NA,2021-10-27,2021,2021-10,4
DAA,YandexMaps,4,"Был Артплей стало то что не выговорить , будьте готовы что парковку можете ждать на въезд около часа... Шлагбаум работает то нет . Очень не удобный выезд на дорогу...",negative,security,Mariia,2021-10-27 00:00:00,yes,NA,2021-10-27,2021,2021-10,4
DAA,YandexMaps,3,"Весьма неясное заведение... Все закрыто... На стойке информации сказали достаточно грубо, что справок не дают.",negative,communication,Mariia,2021-10-28 00:00:00,yes,NA,2021-10-28,2021,2021-10,3
DAA,YandexMaps,3,"Весьма неясное заведение... Все закрыто... На стойке информации сказали достаточно грубо, что справок не дают.",negative,service_quality,Mariia,2021-10-28 00:00:00,yes,NA,2021-10-28,2021,2021-10,3
DAA,YandexMaps,3,"Весьма неясное заведение... Все закрыто... На стойке информации сказали достаточно грубо, что справок не дают.",negative,wayfinding,Mariia,2021-10-28 00:00:00,yes,NA,2021-10-28,2021,2021-10,3
DAA,YandexMaps,5,"Лофт пространство. Есть кофейня от ""Больше кофе"" и несколько модных,современных магазинов.",positive,public_space,Mariia,2021-11-01 00:00:00,yes,NA,2021-11-01,2021,2021-11,5
DAA,YandexMaps,5,"Лофт пространство. Есть кофейня от ""Больше кофе"" и несколько модных,современных магазинов.",positive,food,Mariia,2021-11-01 00:00:00,yes,NA,2021-11-01,2021,2021-11,5
DAA,YandexMaps,5,"Лофт пространство. Есть кофейня от ""Больше кофе"" и несколько модных,современных магазинов.",positive,commerce,Mariia,2021-11-01 00:00:00,yes,NA,2021-11-01,2021,2021-11,5
DAA,YandexMaps,3,Набор странных магазинов/ компании... На задней линии есть пара мест со светильниками по адекватным ценам. Парковка отличная.,mixed,commerce,Mariia,2021-11-04 00:00:00,yes,NA,2021-11-04,2021,2021-11,3
DAA,YandexMaps,3,Набор странных магазинов/ компании... На задней линии есть пара мест со светильниками по адекватным ценам. Парковка отличная.,mixed,pricing,Mariia,2021-11-04 00:00:00,yes,NA,2021-11-04,2021,2021-11,3
DAA,YandexMaps,3,Набор странных магазинов/ компании... На задней линии есть пара мест со светильниками по адекватным ценам. Парковка отличная.,mixed,parking,Mariia,2021-11-04 00:00:00,yes,NA,2021-11-04,2021,2021-11,3
DAA,YandexMaps,5,Отличное место для мероприятий,positive,events,Mariia,2021-11-07 00:00:00,yes,NA,2021-11-07,2021,2021-11,5
DAA,YandexMaps,5,Отличное место для мероприятий,positive,public_space,Mariia,2021-11-07 00:00:00,yes,NA,2021-11-07,2021,2021-11,5
DAA,YandexMaps,5,Все для интерьера в одном месте... быстро решить все вопросы. Рекомендую.,positive,commerce,Mariia,2021-11-06 00:00:00,yes,NA,2021-11-06,2021,2021-11,5
DAA,YandexMaps,5,Все для интерьера в одном месте... быстро решить все вопросы. Рекомендую.,positive,one_stop_shop,Mariia,2021-11-06 00:00:00,yes,NA,2021-11-06,2021,2021-11,5
DAA,YandexMaps,5,Все для интерьера в одном месте... быстро решить все вопросы. Рекомендую.,positive,service_quality,Mariia,2021-11-06 00:00:00,yes,NA,2021-11-06,2021,2021-11,5
DAA,YandexMaps,5,"Очень атмосферное место, для творческого человека и не только!!! Вкусный кофе, красивый интерьер...",positive,atmosphere,Mariia,2021-10-26 00:00:00,yes,NA,2021-10-26,2021,2021-10,5
DAA,YandexMaps,5,"Очень атмосферное место, для творческого человека и не только!!! Вкусный кофе, красивый интерьер...",positive,food,Mariia,2021-10-26 00:00:00,yes,NA,2021-10-26,2021,2021-10,5
DAA,YandexMaps,5,"Очень атмосферное место, для творческого человека и не только!!! Вкусный кофе, красивый интерьер...",positive,public_space,Mariia,2021-10-26 00:00:00,yes,NA,2021-10-26,2021,2021-10,5
DAA,YandexMaps,1,Красивое здание ночью. Днём выглядит пустовато и странно. Внутри не была.,neutral,architecture,Mariia,2021-10-20 00:00:00,yes,NA,2021-10-20,2021,2021-10,1
DAA,YandexMaps,1,Красивое здание ночью. Днём выглядит пустовато и странно. Внутри не была.,neutral,atmosphere,Mariia,2021-10-20 00:00:00,yes,NA,2021-10-20,2021,2021-10,1
DAA,YandexMaps,5,Отличное бизнес-пространство и шоурумы!!!,positive,business_use,Mariia,2021-10-20 00:00:00,yes,NA,2021-10-20,2021,2021-10,5
DAA,YandexMaps,5,Отличное бизнес-пространство и шоурумы!!!,positive,showrooms,Mariia,2021-10-20 00:00:00,yes,NA,2021-10-20,2021,2021-10,5
